"data","dt_evoluca","sg_uf","n"
"1",2020-05-07,"PA",96
"1",2020-05-07,"PB",8
"1",2020-05-07,"PE",84
"1",2020-05-07,"PR",1
"1",2020-05-07,"RJ",193
"1",2020-05-07,"RN",7
"1",2020-05-07,"RO",1
"1",2020-05-07,"RR",1
"1",2020-05-07,"RS",1
"1",2020-05-07,"SC",2
"1",2020-05-07,"SE",1
"1",2020-05-07,"SP",180
"1",2020-05-08,"AC",1
"1",2020-05-08,"AL",18
"1",2020-05-08,"AM",51
"1",2020-05-08,"AP",5
"1",2020-05-08,"BA",18
"1",2020-05-08,"CE",115
"1",2020-05-08,"DF",3
"1",2020-05-08,"ES",8
"1",2020-05-08,"GO",2
"1",2020-05-08,"MA",22
"1",2020-05-08,"MG",5
"1",2020-05-08,"PA",105
"1",2020-05-08,"PB",16
"1",2020-05-08,"PE",73
"1",2020-05-08,"PI",2
"1",2020-05-08,"PR",2
"1",2020-05-08,"RJ",180
"1",2020-05-08,"RN",4
"1",2020-05-08,"RO",4
"1",2020-05-08,"RR",1
"1",2020-05-08,"RS",8
"1",2020-05-08,"SC",1
"1",2020-05-08,"SE",3
"1",2020-05-08,"SP",206
"1",2020-05-09,"AC",1
"1",2020-05-09,"AL",20
"1",2020-05-09,"AM",45
"1",2020-05-09,"AP",3
"1",2020-05-09,"BA",14
"1",2020-05-09,"CE",119
"1",2020-05-09,"DF",3
"1",2020-05-09,"ES",9
"1",2020-05-09,"GO",5
"1",2020-05-09,"MA",32
"1",2020-05-09,"MG",6
"1",2020-05-09,"MT",3
"1",2020-05-09,"PA",98
"1",2020-05-09,"PB",20
"1",2020-05-09,"PE",98
"1",2020-05-09,"PI",1
"1",2020-05-09,"PR",2
"1",2020-05-09,"RJ",189
"1",2020-05-09,"RN",5
"1",2020-05-09,"RR",3
"1",2020-05-09,"RS",5
"1",2020-05-09,"SC",2
"1",2020-05-09,"SE",5
"1",2020-05-09,"SP",175
"1",2020-05-09,"TO",3
"1",2020-05-10,"AC",2
"1",2020-05-10,"AL",19
