"data";"tot.pass";"est.pagantes";"est.grat";"tot.grat";"semana";"semana.num";"semana.dia1";"ano";"estudantes";"grat.no.est"
2019-07-02;8244167;125459;497335;1386338;"2019-W27";27;2019-06-30;"2019";622794;889003
2019-07-03;8291081;123879;490012;1401992;"2019-W27";27;2019-06-30;"2019";613891;911980
2019-07-04;6976786;95756;370732;988224;"2019-W27";27;2019-06-30;"2019";466488;617492
2019-07-05;7652550;102573;420957;1209254;"2019-W27";27;2019-06-30;"2019";523530;788297
2019-07-06;5020914;59539;217287;855892;"2019-W27";27;2019-06-30;"2019";276826;638605
2019-07-07;2550751;27623;111789;470863;"2019-W28";28;2019-07-07;"2019";139412;359074
2019-07-08;6508267;73206;242832;1132487;"2019-W28";28;2019-07-07;"2019";316038;889655
2019-07-09;3169463;33300;138396;554043;"2019-W28";28;2019-07-07;"2019";171696;415647
2019-07-10;8280789;107281;329066;1443815;"2019-W28";28;2019-07-07;"2019";436347;1114749
2019-07-11;8180782;103693;327501;1362430;"2019-W28";28;2019-07-07;"2019";431194;1034929
2019-07-12;8092867;99231;331078;1343977;"2019-W28";28;2019-07-07;"2019";430309;1012899
2019-07-13;5207076;55946;241780;898146;"2019-W28";28;2019-07-07;"2019";297726;656366
2019-07-14;2951896;30358;137111;583071;"2019-W29";29;2019-07-14;"2019";167469;445960
2019-07-15;7838854;90137;294357;1326553;"2019-W29";29;2019-07-14;"2019";384494;1032196
2019-07-16;7697890;87474;278756;1214266;"2019-W29";29;2019-07-14;"2019";366230;935510
2019-07-17;7834360;87933;274600;1272965;"2019-W29";29;2019-07-14;"2019";362533;998365
2019-07-18;7916297;87835;270648;1278470;"2019-W29";29;2019-07-14;"2019";358483;1007822
2019-07-19;7931296;83580;262299;1290301;"2019-W29";29;2019-07-14;"2019";345879;1028002
2019-07-20;5131836;47420;192143;879663;"2019-W29";29;2019-07-14;"2019";239563;687520
2019-07-21;2905001;25567;110581;573447;"2019-W30";30;2019-07-21;"2019";136148;462866
2019-07-22;7896347;82210;246878;1304912;"2019-W30";30;2019-07-21;"2019";329088;1058034
2019-07-23;8184420;86537;271101;1346834;"2019-W30";30;2019-07-21;"2019";357638;1075733
2019-07-24;8271444;87313;281635;1369560;"2019-W30";30;2019-07-21;"2019";368948;1087925
